Law ID,State,State Postal Abbreviation,FIPS Code,Type of Law,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Month,Effective Date Day,Effective Date Year,Statutory Citation,Content,Supercession Date,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Exception Code,Updated Contents?
AK1001,Alaska,AK,02,Background checks for private sales - handguns,,,,,,,,,No law requiring background checks for private sales of handguns,,1,,,,,,
AK1002,Alaska,AK,02,Carrying a concealed weapon (CCW) - prohibited,Restrictive,Implement,1/1/1978,See additional notes and comments about this date,1,1,1978,Alaska Stat. § 11.55.010,"It is unlawful for a person to carry concealed about his person, in any manner, [enumerated weapons].",10/1/1994,1,,,"Prior law prohibting concealed carry enacted before 1966. Carl Bakal, ""The Right to Bear Arms."". Replaced by  § 11.61.220 in 1978, which says "" person commits the crime of misconduct involving weapons in the third degree if he?…knowingly possesses a deadly weapon other than an ordinary pocket knife, that is concealed on his person..",,,1
AK1003,Alaska,AK,02,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,10/1/1994,,10,1,1994,Permit rules described in Alaska Stat. § 18.65.700 et seq.,"Sec. 18.65.700. Permit to carry a concealed handgun.
(a) The department shall issue a permit to carry a concealed handgun to a person who
(1) applies in person at an office of the Alaska State Troopers;
(2) qualifies under AS 18.65.705;
(3) submits on an application form approved by the department the information required under AS 18.65.705 and 18.65.710; the department shall post on the department's website the state laws and regulations relating to concealed handguns, which must include a concise summary of where, when, and by whom a handgun can be carried under state and federal law and shall, on request, mail a copy of the regulations and summary to an applicant or permittee;
(4) submits one complete set of fingerprints in the format approved by the department that is of sufficient quality so that the fingerprints may be processed; the fingerprints must be taken by a person, group, or agency approved by the department; the department shall maintain a list of persons, groups, or agencies approved to take fingerprints and shall provide the list to the public upon request; the fingerprints shall be used to obtain a report of criminal justice information under AS 12.62 and a national criminal history record check under AS 12.62.400;
(5) submits evidence of successful completion of a handgun course as provided in AS 18.65.715;
(6) provides one frontal view color photograph of the person taken within the preceding 30 days that includes the head and shoulders of the person and is of a size specified by the department;
(7) shows a valid Alaska driver's license or identification card at the time of application;
(8) does not suffer a physical infirmity that prevents the safe handling of a handgun; and
(9) pays the application fee required by AS 18.65.720.",9/9/2003,,,,,,,1
AK1004,Alaska,AK,02,Carrying a concealed weapon (CCW) - shall issue (permit not required),Permissive,Modify,9/9/2003,,9,9,2003,Permit-less CCW allowed through change to Alaska Stat. § 11.61.220; Permit rules described in Alaska Stat. § 18.65.700 et seq.,"§ 11.61.220(a) A person commits the crime of misconduct involving weapons in the fifth degree if the person
(1) is 21 years of age or older and knowingly possesses a deadly weapon, other than an ordinary pocket knife or a defensive weapon,
(A) that is concealed on the person, and, when contacted by a peace officer, the person fails to
(i) immediately inform the peace officer of that possession; or
(ii) allow the peace officer to secure the deadly weapon, or fails to secure the weapon at the direction of the peace officer, during the duration of the contact;
(B) that is concealed on the person within the residence of another person unless the person has first obtained the express permission of an adult residing there to bring a concealed deadly weapon within the residence;
(2) knowingly possesses a loaded firearm on the person in any place where intoxicating liquor is sold for consumption on the premises.",,,,,"Permitting system maintained for residents seeking reciprocity with other states or ""those who seek to be exempt from background checks when purchasing additional firearms"" (""Concealed Weapons Permitting,"" Giffords Law Center to Prevent Gun Violence, undated).",,,1
AL1037,Alabama,AL,01,Castle Doctrine,Permissive,Implement,1/2/1900,"Not sure about year, so using 1/1/1900.",1,1,1900,,"Common law castle doctrine. Common law castle doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).",5/16/1978,,,,,,,
AL1004,Alabama,AL,01,Castle Doctrine,Permissive,Modify,5/16/1978,,5,16,1978,"Acts 1977, No. 607, § 620(2)",A person may use deadly physical force under the circumstances set forth in subsection (1) of this section only: (a) In defense of a person a provided in § 610 of this chapter (Justification: Use of Force in Defense of a Person): or (b) When he reasonably believes it is necessary to prevent the commission of arson in the first or second degree by the trespasser,6/1/2006,1,,,,,,1
AL1005,Alabama,AL,01,Castle Doctrine - Stand Your Ground,Permissive,Modify,6/1/2006,,6,1,2006,Ala. Code § 13A-3-23(b),"A person who is justified under subsection (a) in using physical force, including deadly physical force, and who is not engaged in an unlawful activity and is in any place where he or she has the right to be has no duty to retreat and has the right to stand his or her ground.",,,,,,,,1
AK1007,Alaska,AK,02,"Child access laws - intentional, reckless, or knowing provision",,,,,,,,,"No law imposing child access laws - intentional, reckless, or knowing provision",,1,,,,,,
AK1008,Alaska,AK,02,Dealer license - handguns,,,,,,,,,No law requiring dealer license for handguns,,1,,,,,,
AK1009,Alaska,AK,02,Minimum age for youth possession - long guns,Restrictive,Implement,1/1/1980,,1,1,1980,Alaska Stat. § 11.61.220(a)(3),"Alaska Stat. § 11.61.220(a)(3): A person commits the crime of misconduct involving weapons in the fifth degree if the person...being an unemancipated minor under 16 years of age, possesses a firearm, switchblade, or gravity knife without the consent of a parent or guardian of the minor.",,,16,,,,,
